-65,-41,-5
-87,-13,25
-65,-11,18
-86,-10,33
-70,1,35
-79,-4,18
-81,-4,23
-88,-12,25
-101,-15,17
-100,-12,24
-72,-13,23
-79,-14,14
-52,-16,22
-52,-21,21
-80,-24,-16
-79,-27,-22
-38,-23,-9
-31,-21,-8
-24,-23,-20
-11,-27,-24
-25,-25,-47
-21,-27,-56
-18,-35,-57
-25,-44,-37
-32,-45,-32
-57,-64,-28
-66,-54,-21
-35,-33,-23
-29,-28,-16
-58,-48,-33
-62,-38,-56
-48,-38,-47
-33,-39,-53
-9,-34,-26
9,-37,-16
0,-51,-11
-13,-56,-31
-53,-49,-85
-37,-35,-57
-52,-31,-54
-30,-20,-42
-32,-25,-47
-38,-19,-37
-40,-21,-47
-38,-17,-48
-45,-17,-52
-41,-14,-49
-35,-18,-45
-42,-33,-41
-45,-37,-36
-40,-38,-42
-39,-33,-42
-33,-36,-35
-33,-38,-34
-32,-39,-46
-32,-37,-48
-31,-39,-48
-29,-39,-41
-29,-41,-41
-35,-36,-46
-35,-33,-47
-29,-35,-41
-30,-36,-39
-33,-36,-39
-33,-37,-38
-39,-38,-39
-42,-36,-40
-43,-35,-42
-40,-35,-42
-36,-35,-39
-37,-34,-36
-38,-36,-35
-37,-39,-34
-40,-37,-33
-41,-36,-34
-40,-35,-36
-39,-35,-37
-40,-35,-38
-40,-35,-39
-41,-36,-39
-39,-35,-38
-38,-35,-39
-37,-37,-39
-39,-37,-41
-38,-36,-38
-39,-35,-39
-38,-34,-40
-36,-34,-41
-35,-35,-42
-38,-35,-43
-39,-36,-44
-36,-35,-43
-35,-35,-43
-33,-37,-44
-37,-36,-43
-40,-35,-42
-39,-34,-41
-39,-33,-40
-39,-33,-41
-38,-34,-40
-38,-35,-40
-35,-37,-38
-33,-36,-37
-35,-35,-36
-39,-35,-39
-40,-35,-40
-41,-36,-38
-40,-36,-38
-38,-37,-38
-39,-36,-39
-36,-36,-38
-37,-36,-39
-39,-36,-39
-39,-36,-39
-39,-36,-40
-39,-36,-39
-39,-35,-39
-39,-35,-39
-39,-36,-40
-39,-36,-40
-39,-36,-39
-39,-36,-38
-39,-35,-38
-39,-34,-38
-39,-34,-38
-42,-33,-37
-43,-32,-35
-43,-32,-36
-45,-31,-38
-40,-31,-37
-38,-32,-39
-38,-32,-41
-33,-34,-41
-34,-34,-42
-36,-34,-44
-33,-36,-45
-33,-37,-46
-32,-38,-47
-32,-35,-47
-30,-36,-46
-33,-35,-47
-33,-34,-47
-35,-31,-48
-37,-29,-48
-37,-29,-44
-40,-28,-42
-36,-27,-41
-35,-29,-43
-33,-29,-45
-33,-30,-44
-34,-30,-42
-34,-29,-42
-39,-28,-42
-41,-28,-43
-43,-29,-47
-42,-31,-47
-41,-32,-46
-38,-30,-46
-36,-29,-46
-35,-27,-47
-35,-28,-47
-38,-28,-41
-41,-26,-38
-45,-23,-34
-44,-24,-39
-40,-25,-45
-38,-24,-47
-40,-23,-47
-40,-20,-47
-45,-15,-49
-46,-14,-50
-46,-15,-52
-49,-17,-52
-51,-18,-52
-50,-17,-51
-44,-15,-46
-41,-19,-46
-40,-20,-45
-36,-20,-43
-39,-21,-43
-40,-20,-45
-39,-21,-45
-43,-22,-47
-40,-22,-45
-40,-22,-53
-36,-20,-53
-38,-19,-46
-34,-18,-42
-41,-19,-55
-37,-19,-60
-32,-19,-51
-36,-16,-46
-41,-18,-52
-32,-24,-52
-40,-16,-46
-39,-19,-49
-35,-18,-45
-32,-19,-43
-35,-16,-45
-33,-18,-51
-37,-19,-51
-44,-19,-51
-40,-20,-50
-29,-23,-56
-37,-16,-51
-40,-20,-54
-39,-22,-58
-25,-15,-49
-30,-14,-57
-39,-20,-49
-42,-17,-38
-38,-19,-41
-37,-19,-55
-32,-19,-57
-34,-19,-55
-34,-18,-55
-46,-20,-55
-39,-20,-52
-43,-20,-50
-40,-18,-48
-40,-19,-46
-40,-19,-48
-34,-20,-47
-35,-19,-49
-39,-19,-49
-43,-20,-49
-45,-19,-49
-41,-18,-49
-40,-19,-49
-38,-19,-50
-38,-19,-49
-38,-20,-47
-38,-20,-46
-40,-19,-44
-42,-18,-44
-41,-17,-46
-41,-17,-48
-41,-17,-49
-41,-17,-50
-41,-18,-51
-41,-19,-52
-41,-19,-51
-38,-19,-49
-38,-19,-49
-38,-17,-50
-38,-18,-49
-40,-17,-49
-41,-17,-50
-42,-16,-50
-42,-16,-50
-41,-16,-50
