-39,31,19
-40,29,28
-41,29,30
-51,31,24
-49,33,31
-57,35,28
-49,30,31
-51,29,30
-52,26,33
-48,24,33
-50,23,31
-53,24,29
-53,24,28
-51,21,24
-48,21,26
-48,19,23
-55,21,19
-56,21,18
-58,24,18
-65,27,15
-73,30,13
-81,35,8
-85,31,3
-83,28,8
-87,21,5
-85,21,7
-81,30,13
-76,24,10
-67,19,15
-51,13,38
-43,1,37
-38,1,46
-27,2,50
-23,2,46
-17,8,45
-30,14,38
-38,18,32
-52,28,33
-60,21,37
-67,19,39
-70,15,44
-77,12,37
-67,0,29
-68,-11,21
-65,-17,18
-57,-21,19
-55,-21,25
-44,-31,35
-49,-31,42
-49,-24,50
-50,-16,46
-56,-15,40
-57,-15,40
-58,-13,41
-51,-13,38
-45,-17,28
-41,-12,25
-37,-7,27
-45,18,17
-76,65,-24
-89,80,6
-48,60,48
-52,52,55
-54,21,73
-56,-7,78
-58,-14,76
-60,-20,64
-52,-14,55
-48,-13,49
-45,-15,40
-41,-14,38
-35,-9,27
-23,6,12
-31,17,3
-61,50,13
-72,70,18
-88,68,22
-60,29,29
-58,18,25
-56,12,28
-53,13,33
-55,15,35
-58,17,35
-59,18,33
-59,19,30
-59,18,29
-59,17,28
-58,18,33
-57,17,33
-58,18,32
-59,19,30
-60,18,29
-57,17,30
-55,17,30
-55,17,29
-55,17,30
-55,17,31
-56,18,30
-58,18,31
-59,19,31
-60,18,30
-62,23,32
-65,26,34
-70,30,34
-68,28,37
-62,11,42
-34,-31,19
-12,-48,26
-40,-2,34
-80,42,11
-77,53,21
-65,38,22
-59,29,17
-54,15,12
-52,11,16
-51,10,21
-55,9,27
-64,13,28
-66,16,28
-66,13,37
-72,12,38
-84,4,44
-85,-2,42
-84,-8,38
-70,-18,29
-54,-20,28
-38,-16,20
-74,0,-4
-82,14,-4
-67,35,10
-46,31,17
-43,23,16
-39,6,12
-39,1,10
-41,-3,13
-50,-1,23
-52,2,28
-73,16,34
-74,14,44
-76,8,43
-73,5,46
-69,3,45
-60,0,42
-56,-2,34
-53,-2,30
-54,-1,22
-52,2,17
-52,5,15
-57,13,15
-58,17,16
-51,25,21
-46,31,21
-39,31,23
-23,34,42
-29,35,42
-30,36,39
-33,40,35
-37,43,33
-42,48,30
-43,55,32
-43,59,34
-38,67,43
-33,69,47
-18,68,45
-16,58,63
-30,53,49
-28,50,35
-29,48,28
-28,49,26
-29,51,22
-30,52,22
-30,53,22
-28,54,23
-26,54,23
-25,54,24
-27,53,22
-28,52,22
-27,51,22
-26,51,23
-26,51,24
-26,52,25
-26,52,26
-26,52,27
-25,53,27
-25,53,28
-25,52,28
-26,52,28
-26,52,27
